日期,主队,客队,主队进球,客队进球,比分,参考盘口,实际盘口,预测结果,先进球方,sb_λ_主队初,sb_λ_主队终,sb_λ_客队初,sb_λ_客队终,xl_λ_主队初,xl_λ_主队终,xl_λ_客队初,xl_λ_客队终,odds_fingerprint
2026-6-10,美國,塞內加爾,3,2,3:02,0.0,0.0,1:01,主队,1.2238449721396958,1.2729676131623788,1.2238449721396958,1.2835769409639517,1.2316310839418647,1.2573262726911394,1.1419681814687466,1.2566282629299137,8cf54ac3ca60373984e2ec21f05d5a8c
2026-6-10,塞內加爾,秘魯,2,0,2:00,-0.5,-1.25,2:00,主队,2.0432140926128017,1.853862964508632,0.7282134030072696,0.614149894318011,1.807671482356268,1.841535794075132,0.7059954436163645,0.6127193143881497,abf9b2accf543d0b7e66bdca307df687
2026-6-10,塞內加爾,摩洛哥,0,0,0:00,0.25,0.25,0:01,无进球,0.8879387246650431,0.7420110582201288,1.128638831353346,1.1096534017130515,0.9902947572386,0.7232233560741397,1.2216378332294446,1.0880302737321217,1e4793fd8d3f97b4635bc353620df623
2026-6-10,塞內加爾,埃及,1,0,1:00,-0.25,-0.5,1:01,主队,1.2635259573409892,1.3359363623309182,0.8772501423823365,0.8478780623960873,1.2813421057848513,1.3525777689851328,0.897999336532879,0.8347276925954313,6aebcb9ac86da8f6f388749dee1d3a6a
2026-6-10,金布洛治獅隊,德文波特城,1,1,1:01,0.0,0.25,1:01,客队,1.447894721342207,1.697463130172256,1.8283255260973688,1.7063260414294577,1.4597613916655467,1.433385741530609,1.6710389160125425,1.5963917350762584,868ce0dc73788d3570dd6ae603c336fa
2026-6-10,墨爾本勝利青年隊,布倫瑞克祖雲達斯,4,0,4:00,0.0,-0.25,1:01,主队,1.74516361130512,1.7195588211816897,1.3615459986015075,1.5897845013849483,1.757595659500362,1.6854823954439646,1.5816756540914885,1.576004410602316,8fd037d744eb56f7460b3bfe4609f221
2026-6-10,斯里蘭卡,不丹,4,1,4:01,-0.75,-1.5,2:00,主队,1.874661035518356,2.12832037043092,1.020526509613183,0.6219944635787916,1.9575726830665952,1.9929141214139643,0.8426760023272803,0.6077428316015848,ff20b86577d3d1afe24572ebff826ae2
2026-6-10,日本u21,烏克蘭u21,3,0,3:00,-0.25,-0.75,1:01,主队,1.6571179115690824,1.799262435416298,1.0181961251022846,1.106712100594081,1.5608996456562787,1.7682243316131885,1.0366132328121442,1.0368790438119329,2e497f9f0a5593d1259b71192800afe8
2026-6-10,科特迪瓦u23,加拿大u20,2,1,2:01,-0.5,-0.75,1:00,主队,1.7247212452801504,1.6729088571396111,1.170247826653975,0.8622067456816005,1.721086739607934,1.747310370817755,1.1110916499119654,0.7948741898783173,ad2ff39e7958aebe37dba6fcaa1be5bd
2026-6-10,泰國u19,馬來西亞u19,3,2,3:02,-0.5,-0.75,1:00,客队,1.852985490297844,1.8408231125358272,0.8172095056676343,0.8416458303197951,1.896860656494301,1.7137993968557343,0.778924884926651,0.9179832225934524,d072d183f831d847a409757f6cb42349
2026-6-10,沙地阿拉伯u20,巴拿馬u20,0,0,0:00,-0.25,-0.25,1:00,无进球,1.3165062848377067,1.0172861281955958,1.1380130279478191,0.7373532729999038,1.2796971437455644,1.1375432470075717,1.102558584502051,0.8426473666686086,5b5e1472e64a46ca3b4fd84b7e53aaa1
